name,gender,problematic,special_needs,math,reading,friends
Student_33,b,n,n,h,l,Student_35;Student_34;Student_36
Student_34,g,n,y,l,h,Student_30;Student_31;Student_33;Student_29
Student_35,g,n,n,m,h,Student_33;Student_30;Student_29
Student_36,g,n,n,h,h,Student_33;Student_34;Student_35
Student_37,b,n,y,m,m,Student_42;Student_38;Student_43
Student_38,g,n,n,l,m,Student_37;Student_39;Student_43
Student_39,b,n,n,h,m,Student_38;Student_42;Student_41
Student_40,b,n,n,m,l,Student_39;Student_43;Student_41
Student_41,b,n,n,m,h,Student_40;Student_38;Student_42
Student_42,b,n,n,h,h,Student_41;Student_43;Student_38;Student_39
Student_43,g,y,n,m,l,Student_41;Student_37;Student_40;Student_42
Student_44,g,n,n,m,m,Student_45;Student_46;Student_47;Student_49
Student_45,g,n,n,l,h,Student_48;Student_47;Student_44;Student_49
Student_46,g,n,y,l,l,Student_49;Student_50;Student_48;Student_44
Student_47,b,n,n,m,l,Student_45;Student_48;Student_44
Student_48,g,n,n,h,l,Student_45;Student_50;Student_49
Student_49,b,y,n,l,m,Student_47;Student_44;Student_50
Student_50,g,n,n,m,m,Student_48;Student_44;Student_46;Student_45
Student_51,g,n,n,l,h,Student_57;Student_56;Student_53;Student_55
Student_52,g,n,n,m,l,Student_56;Student_55;Student_53;Student_51
Student_53,g,n,n,h,l,Student_56;Student_57;Student_55
Student_54,g,n,n,m,m,Student_56;Student_52;Student_55
Student_55,b,n,y,l,l,Student_54;Student_56;Student_52;Student_57
Student_56,b,n,n,l,l,Student_55;Student_57;Student_51
Student_57,g,n,y,h,m,Student_56;Student_53;Student_55;Student_54
Student_58,g,n,y,l,l,Student_63;Student_61;Student_59;Student_60
Student_59,g,n,n,m,m,Student_62;Student_60;Student_64;Student_58
Student_60,g,n,n,h,m,Student_58;Student_59;Student_63
Student_61,b,n,n,h,m,Student_64;Student_60;Student_63;Student_62
Student_62,g,n,n,l,h,Student_61;Student_63;Student_60;Student_58
Student_63,b,n,n,l,l,Student_64;Student_61;Student_62;Student_59
Student_64,g,n,n,h,l,Student_61;Student_63;Student_58
Student_65,b,n,n,m,h,Student_66;Student_68;Student_67
Student_66,g,n,n,m,h,Student_72;Student_65;Student_71
Student_67,g,n,n,h,m,Student_68;Student_66;Student_65
Student_68,g,y,n,l,m,Student_72;Student_65;Student_71
Student_69,b,n,n,l,m,Student_71;Student_70;Student_66
Student_70,b,y,n,m,m,Student_69;Student_67;Student_68
Student_71,g,n,n,h,l,Student_66;Student_72;Student_65;Student_70
Student_72,g,n,n,h,h,Student_66;Student_67;Student_65
Student_73,g,n,n,l,h,Student_75;Student_76;Student_78;Student_77
Student_74,b,n,n,m,h,Student_78;Student_73;Student_75
Student_75,b,y,y,h,h,Student_77;Student_76;Student_74;Student_78
Student_76,g,n,n,l,m,Student_79;Student_77;Student_74;Student_78
Student_77,b,n,n,l,l,Student_76;Student_74;Student_73
Student_78,g,n,n,m,h,Student_73;Student_75;Student_76;Student_79
Student_79,g,n,n,h,h,Student_77;Student_75;Student_76;Student_73
Student_80,g,y,n,h,h,Student_83;Student_84;Student_87
Student_81,b,n,n,l,l,Student_82;Student_85;Student_86;Student_87
Student_82,b,n,n,h,m,Student_84;Student_85;Student_86
Student_83,b,n,n,l,m,Student_85;Student_81;Student_86;Student_87
Student_84,b,n,n,l,h,Student_80;Student_86;Student_87
Student_85,b,y,n,l,l,Student_87;Student_84;Student_80
Student_86,b,n,n,m,m,Student_81;Student_87;Student_80;Student_85
Student_87,g,n,y,h,l,Student_84;Student_85;Student_86
Student_88,g,n,n,l,m,Student_90;Student_89
Student_89,b,n,n,m,m,Student_90;Student_88
Student_90,b,n,n,h,m,Student_88;Student_89
