name,grade,gender,math,reading,behavior,independence,iep,504,esl,gate,friends,incompatible
Lincoln Carter,2nd,M,m,m,neutral,high,n,n,n,n,Gabriella Martinez,
Violet Allen,2nd,F,h,h,neutral,high,n,n,n,n,,
Jaxon Taylor,2nd,M,m,m,cooperative,neutral,n,n,n,n,,
James Richardson,2nd,M,h,m,cooperative,neutral,n,n,n,n,Grayson Smith,
Brooklyn Moore,2nd,F,l,m,cooperative,neutral,n,n,y,n,,
Gabriel Garcia,2nd,M,m,h,cooperative,neutral,y,n,n,n,Jaxon Taylor,
Leah Rivera,2nd,F,m,l,disruptive,high,n,n,n,n,,John Cook
Elijah Hall,2nd,M,m,m,cooperative,high,n,n,n,n,,
Grayson Smith,2nd,M,m,m,cooperative,high,n,n,n,n,,
Liam Young,2nd,M,m,l,cooperative,high,n,n,n,n,,
Christian Mendoza,2nd,M,m,m,cooperative,neutral,n,n,n,n,Leah Rivera,
John Phillips,2nd,M,l,l,neutral,neutral,n,n,y,n,Abigail Clark,
Hunter Wood,2nd,M,h,l,neutral,high,n,n,n,n,,
Grayson Williams,2nd,M,l,h,neutral,high,n,n,n,n,,
Abigail Clark,2nd,F,m,m,cooperative,neutral,n,n,n,n,,
Liam Rivera,2nd,M,m,h,neutral,high,n,n,n,n,,
Carter Evans,2nd,M,l,l,cooperative,neutral,n,n,n,n,,
Camila Roberts,2nd,F,l,m,neutral,high,n,n,n,n,,
Ellie Stewart,2nd,F,l,h,cooperative,high,n,n,n,n,Bella Rogers,
Bella Rogers,2nd,F,m,m,neutral,neutral,n,y,y,n,,
Luke Ruiz,2nd,M,h,m,cooperative,high,n,n,n,n,,
Hannah Scott,2nd,F,m,l,cooperative,low,n,n,n,n,,
Lily Rodriguez,2nd,F,m,h,cooperative,low,n,n,n,n,Luke Ruiz,
Logan Walker,2nd,M,l,m,cooperative,high,n,n,n,n,,
Hunter Nelson,2nd,M,h,m,cooperative,neutral,n,n,n,n,,
Joseph Hill,2nd,M,h,l,cooperative,high,n,n,n,n,,
Oliver Hughes,2nd,M,m,m,cooperative,neutral,n,n,n,n,John Cook,
Allison Morgan,2nd,F,m,h,cooperative,high,n,n,n,n,,
Owen Cook,2nd,M,l,h,cooperative,neutral,n,n,n,n,,
Christopher Baker,2nd,M,h,m,cooperative,neutral,n,n,n,n,,
Camila Chavez,2nd,F,h,m,cooperative,high,n,n,n,n,,
John Cook,2nd,M,h,l,disruptive,neutral,n,n,n,n,,Leah Rivera
Elijah Green,2nd,M,m,m,neutral,high,y,n,n,n,,
Michael Rodriguez,2nd,M,m,m,cooperative,neutral,n,n,y,n,,
William Diaz,2nd,M,m,m,cooperative,neutral,n,n,n,n,Ellie Bailey,
Jacob Miller,2nd,M,l,m,cooperative,low,n,n,n,n,,
Paisley Anderson,2nd,F,h,l,cooperative,neutral,n,n,n,n,,
John Scott,2nd,M,h,m,neutral,high,y,n,n,n,,
Ellie Bailey,2nd,F,h,h,cooperative,neutral,n,n,n,n,,
Claire Diaz,2nd,F,h,m,neutral,low,n,n,n,n,,
Jacob Mitchell,2nd,M,l,m,cooperative,high,n,n,n,n,,
Ava Rivera,2nd,F,m,m,cooperative,neutral,n,n,n,n,,
Bella Stewart,2nd,F,h,m,cooperative,neutral,n,n,n,n,,
Sofia Parker,2nd,F,m,m,neutral,neutral,n,y,n,n,Elizabeth Martinez,
Maya Lopez,2nd,F,h,h,cooperative,low,n,n,n,n,,
Gabriella Wright,2nd,F,h,m,neutral,high,n,n,y,n,Elizabeth Martinez,
Elijah Lee,2nd,M,m,h,cooperative,low,n,n,n,n,,
Elizabeth Martinez,2nd,F,h,l,neutral,low,n,n,n,n,Gabriella Wright,
Oliver Sanchez,2nd,M,m,m,disruptive,low,n,n,n,n,Gabriella Wright,David King
Carter Adams,2nd,M,h,l,neutral,neutral,n,n,n,n,Audrey Thomas,
Luna Williams,2nd,F,m,m,neutral,neutral,n,n,n,n,,
Sebastian Green,2nd,M,h,l,cooperative,high,n,n,n,n,,
Skylar Turner,2nd,F,l,l,neutral,high,n,n,y,n,,
Elijah Kelly,2nd,M,h,m,cooperative,high,y,n,n,n,Oliver Sanchez,
Audrey Thomas,2nd,F,m,h,cooperative,neutral,n,n,n,n,,
Stella Turner,2nd,F,h,l,neutral,high,n,n,n,n,,
Camila Clark,2nd,F,l,h,cooperative,neutral,n,n,n,n,,
David King,2nd,M,l,m,disruptive,high,n,n,n,n,,Oliver Sanchez
Nora Parker,2nd,F,m,m,cooperative,neutral,n,n,y,n,Audrey Thomas,
Jack Stewart,2nd,M,m,m,neutral,low,n,n,n,n,,
John Howard,2nd,M,h,m,cooperative,neutral,n,n,n,n,James Brooks,
Lucas Harris,2nd,M,h,m,neutral,neutral,n,n,n,n,,
Isaac Young,2nd,M,m,m,cooperative,high,n,n,n,n,Nora Parker,
Aria Chavez,2nd,F,m,l,cooperative,neutral,n,n,y,n,,
James Brooks,2nd,M,l,l,cooperative,neutral,n,n,n,n,,
Sebastian Lopez,2nd,M,m,m,cooperative,neutral,n,n,n,n,,
Brooklyn Rodriguez,2nd,F,h,m,neutral,neutral,n,n,n,n,,
Mateo Ramos,2nd,M,h,h,neutral,high,n,n,n,y,,
Evelyn Cooper,2nd,F,h,h,cooperative,neutral,n,n,n,n,Dylan Cox,
Ellie Hill,2nd,F,m,m,cooperative,neutral,n,n,n,n,Hannah Collins,
Sebastian Harris,2nd,M,h,h,neutral,neutral,n,n,n,n,,
Hannah Collins,2nd,F,l,m,neutral,low,n,n,y,n,,
Emily Edwards,2nd,F,l,h,neutral,high,n,n,y,n,,
Dylan Cox,2nd,M,l,m,neutral,high,n,n,y,n,,
Savannah Nelson,2nd,F,h,l,cooperative,neutral,n,n,n,n,,
Penelope Collins,2nd,F,l,m,cooperative,neutral,n,n,n,n,,
Zoey Ramirez,2nd,F,l,m,cooperative,neutral,n,n,n,n,,
Allison Thomas,2nd,F,h,l,disruptive,neutral,n,n,n,n,,
Dylan Thomas,2nd,M,h,m,disruptive,neutral,n,n,n,n,,
Hannah Kim,2nd,F,m,l,cooperative,neutral,n,n,n,n,,
Elijah Garcia,2nd,M,l,m,disruptive,high,n,n,n,n,,
Sophia Murphy,2nd,F,l,m,cooperative,high,n,n,y,n,,
Layla Lewis,2nd,F,m,m,neutral,high,n,n,n,n,,
William Williams,2nd,M,m,h,cooperative,low,n,n,n,n,,
Harper Hill,3rd,F,m,l,cooperative,neutral,n,y,n,n,Mason Phillips,
Brooklyn Brooks,3rd,F,m,l,cooperative,neutral,y,n,y,n,,
Mason Phillips,3rd,M,h,l,cooperative,neutral,n,n,n,n,Brooklyn Kim,
Skylar Thompson,3rd,F,l,m,neutral,neutral,n,n,n,n,,
Benjamin Robinson,3rd,M,h,m,cooperative,high,y,n,n,n,,
Carter Wood,3rd,M,l,m,cooperative,high,n,n,n,n,,
Alexander Parker,3rd,M,h,m,cooperative,neutral,n,n,n,n,Hunter Miller,
Brooklyn Kim,3rd,F,m,m,cooperative,neutral,n,n,n,n,,
Hunter Miller,3rd,M,h,m,neutral,high,n,n,n,n,Samuel Young,
Aria Reyes,3rd,F,l,m,disruptive,neutral,n,n,n,n,,Charlotte Cooper
Ryan Turner,3rd,M,m,m,neutral,neutral,n,n,n,n,Olivia Wilson,
Elijah Nelson,3rd,M,l,l,neutral,neutral,n,n,n,n,Aria Reyes,
Samuel Young,3rd,M,h,h,neutral,high,n,n,n,y,,
Noah Gonzalez,3rd,M,l,m,cooperative,neutral,n,n,n,n,,
Olivia Wilson,3rd,F,m,h,cooperative,neutral,n,n,n,n,Elijah Nelson,
Christian Gutierrez,3rd,M,l,l,cooperative,neutral,n,n,n,n,Owen Taylor,
Charlotte Cooper,3rd,F,m,m,disruptive,high,n,n,n,n,Oliver Wilson,Aria Reyes
Owen Taylor,3rd,M,m,m,disruptive,neutral,n,n,n,n,,
Benjamin Bailey,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Aiden Anderson,3rd,M,m,h,cooperative,neutral,n,y,n,n,Matthew Anderson,
Oliver Wilson,3rd,M,m,l,neutral,neutral,n,n,n,n,Christian Gutierrez,
Violet Sanchez,3rd,F,m,m,neutral,neutral,n,n,y,n,,
Matthew Anderson,3rd,M,m,h,cooperative,neutral,n,n,n,n,Oliver Wilson,
Amelia Kelly,3rd,F,l,h,neutral,low,n,n,n,n,Matthew Anderson,
Layla Thomas,3rd,F,h,l,neutral,neutral,n,n,n,n,,
Charlotte Cook,3rd,F,h,l,neutral,high,n,n,n,n,,
Charlotte Murphy,3rd,F,h,m,neutral,high,n,n,n,n,,
Lily Watson,3rd,F,m,m,cooperative,neutral,n,n,n,n,,
Leo Cruz,3rd,M,m,m,cooperative,high,n,n,n,n,,
Jackson Bailey,3rd,M,l,l,disruptive,high,n,n,n,n,Charlotte Murphy,
Carter Thompson,3rd,M,m,h,disruptive,low,n,n,n,n,,Asher Mitchell
Riley Moore,3rd,F,m,m,neutral,neutral,n,n,n,n,,
Ellie Bennett,3rd,F,l,l,cooperative,low,n,n,y,n,Olivia Allen,
Abigail Adams,3rd,F,m,m,cooperative,neutral,n,n,n,n,,
Asher Mitchell,3rd,M,m,m,disruptive,neutral,n,n,n,n,,Carter Thompson
Camila Hall,3rd,F,m,m,cooperative,high,y,n,n,n,Ellie Bennett,
Alexander Campbell,3rd,M,m,l,cooperative,neutral,y,n,n,n,,
Olivia Allen,3rd,F,m,m,neutral,high,n,n,n,n,Ryan Parker,
Hazel Nelson,3rd,F,m,m,neutral,high,n,n,n,n,Hannah Hernandez,
Ryan Parker,3rd,M,m,m,cooperative,high,y,n,n,n,,
Savannah Morales,3rd,F,h,h,cooperative,neutral,n,n,y,n,,
Natalie Jackson,3rd,F,l,m,cooperative,neutral,n,n,n,n,,
Hannah Hernandez,3rd,F,h,m,cooperative,high,n,n,n,n,Savannah Morales,
Alexander Flores,3rd,M,l,m,cooperative,high,n,n,y,n,,
Scarlett Hill,3rd,F,m,l,neutral,low,n,n,n,n,,
Audrey Rivera,3rd,F,l,h,cooperative,neutral,n,n,n,n,Hannah Hernandez,
Layla Campbell,3rd,F,h,m,neutral,neutral,n,y,n,n,,
Matthew Jones,3rd,M,h,m,cooperative,neutral,n,n,n,n,Scarlett Hill,
Ryan Howard,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Ezra Turner,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Skylar King,3rd,F,m,l,cooperative,low,n,n,n,n,,
Paisley Smith,3rd,F,h,m,cooperative,low,n,n,n,n,,
Owen Rivera,3rd,M,m,h,disruptive,neutral,y,n,n,n,,Riley Flores
Leo Nelson,3rd,M,h,m,cooperative,high,y,n,n,n,,
Riley Flores,3rd,F,h,m,disruptive,high,n,n,n,n,,Owen Rivera
Layla Wilson,3rd,F,l,m,cooperative,neutral,n,n,n,n,,
Matthew Gutierrez,3rd,M,m,m,cooperative,neutral,n,y,n,n,,
Liam Chavez,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Ethan Carter,3rd,M,m,m,neutral,neutral,n,n,n,n,,
Harper Sanchez,3rd,F,h,h,cooperative,neutral,n,n,n,n,Ethan Carter,
Stella Carter,3rd,F,l,m,neutral,high,n,n,n,n,,
Lincoln Taylor,3rd,M,l,m,cooperative,high,n,n,n,n,,
Levi Taylor,3rd,M,l,h,cooperative,neutral,n,n,n,n,Harper Sanchez,
Anthony Bailey,3rd,M,h,h,cooperative,high,n,n,n,n,,
Oliver Diaz,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Joseph Jones,3rd,M,h,m,neutral,neutral,n,n,n,n,Anthony Bailey,
Natalie Reed,3rd,F,h,m,cooperative,neutral,n,n,y,n,Luna Robinson,
Nora Bailey,3rd,F,m,l,neutral,neutral,n,n,n,n,,
Wyatt Perez,3rd,M,m,m,neutral,high,y,n,n,n,Aiden Phillips,
Claire Walker,3rd,F,m,l,neutral,neutral,n,n,y,n,Nora Bailey,
Aiden Phillips,3rd,M,l,l,cooperative,high,n,n,n,n,,
Luna Robinson,3rd,F,h,h,cooperative,high,n,n,n,n,Aiden Phillips,
Liam Collins,3rd,M,m,m,cooperative,neutral,n,n,y,n,,
Natalie Howard,3rd,F,h,h,cooperative,low,n,n,n,n,Aiden Phillips,
Jackson Parker,3rd,M,m,m,cooperative,high,y,n,n,n,,
Levi Thomas,3rd,M,l,m,disruptive,neutral,y,n,n,n,,Isabella Ruiz
Ryan Cruz,3rd,M,m,l,neutral,high,n,n,n,n,,
Layla King,3rd,F,m,m,neutral,neutral,n,n,n,n,,
Caleb Diaz,3rd,M,m,l,cooperative,high,n,n,y,n,Benjamin Harris,
Thomas Carter,3rd,M,m,l,cooperative,low,y,n,n,n,,
Isabella Ruiz,3rd,F,h,l,disruptive,neutral,n,n,n,n,Caleb Diaz,Levi Thomas
Liam Cox,3rd,M,m,m,cooperative,neutral,n,n,n,n,,
Sebastian Hall,3rd,M,m,l,cooperative,neutral,y,n,n,n,,
Benjamin Harris,3rd,M,m,m,neutral,low,n,n,n,n,,
Noah Cox,3rd,M,l,m,neutral,neutral,y,n,n,n,,
Michael Lopez,3rd,M,m,m,disruptive,neutral,n,n,n,n,,Ellie Ward
Wyatt Mendoza,3rd,M,h,h,neutral,high,n,n,n,n,,
Gabriel Richardson,3rd,M,l,m,neutral,neutral,n,n,n,n,Ellie Ward,
